Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	0.9693934425223634	0.09693934425223631	249250620	12462	249	1.0	0.011335316665907995	0.012992450477776748	0.02267063333181599
2	1	115116963	0.9693934425223634	0.6422231556710657	115116962	5755	115	1.625	0.021445812984255817	0.02458102154231135	0.042891625968511635
2	115116963	129712734	2.278074589927554	0.9693934425223634	14595771	729	14	3.5	0.00379646345735558	0.004351476444300143	0.00759292691471116
2	129712734	243199373	0.9693934425223634	0.6422231556710657	113486639	5674	113	1.625	0.0005413440000520025	0.0006204842193134989	0.001082688000104005
3	1	198022430	0.9693934425223634	0.09693934425223631	198022429	9901	198	1.0	0.0049062606841447105	0.0056235172645445535	0.009812521368289421
4	1	191154276	0.9693934425223634	0.9693934425223634	191154275	9557	191	2.0	0.021535489478579892	0.02468380803217011	0.043070978957159785
5	1	180915260	0.9693934425223634	0.09693934425223631	180915259	9045	180	1.0	0.0009401533242841815	0.0010775963184175377	0.001880306648568363
6	1	35374696	0.9693934425223634	0.9291263302945113	35374695	1768	35	1.9538461538461538	0.007553681372914302	0.008657969958409836	0.015107362745828605
6	35374696	39327455	0.9693934425223634	0.9291263302945113	3952759	197	3	1.9538461538461538	0.005121214157289555	0.005869895238550347	0.01024242831457911
6	39327455	171115067	0.9693934425223634	0.9291263302945113	131787612	6589	131	1.9538461538461538	0.015195761752949975	0.01741726216093159	0.03039152350589995
7	1	159138663	0.9693934425223634	0.9693934425223634	159138662	7956	159	2.0	0.003847041927782779	0.004409449087820855	0.007694083855565558
8	1	45697804	0.9693934425223634	0.3150528688197681	45697803	2284	45	1.25	0.00019836113637084767	0.00022735996858075572	0.00039672227274169535
8	45697804	48663006	0.9693934425223634	0.3150528688197681	2965202	148	2	1.25	0.0014665677038673483	0.0016809683246089505	0.0029331354077346966
8	48663006	141858107	0.9693934425223634	0.3150528688197681	93195101	4659	93	1.25	0.0014410712841706707	0.0016517445296296718	0.0028821425683413413
8	141858107	143391095	0.9693934425223634	0.5331663933872999	1532988	76	1	1.5	0.008845669254436112	0.010138836268836389	0.017691338508872223
8	143391095	146364022	0.9693934425223634	0.3150528688197681	2972927	148	2	1.25	0.016325851988497512	0.018712562667615257	0.032651703976995024
9	1	70606715	0.9693934425223634	0.9693934425223634	70606714	3530	70	2.0	0.010614750599632527	0.01216654334099536	0.021229501199265054
9	70606715	141213431	1.8418475407924906	0.9693934425223634	70606716	3530	70	3.0	0.00703152865145915	0.008059482631121833	0.0140630573029183
10	1	135534747	0.9693934425223634	0.9693934425223634	135534746	6776	135	2.0	0.004249782524180896	0.004871067180046748	0.008499565048361793
11	1	67503258	0.9693934425223634	0.09693934425223631	67503257	3375	67	1.0	0.00023383154022424895	0.0002680158654625869	0.0004676630804484979
11	67503258	135006516	0.9693934425223634	0.09693934425223631	67503258	3375	67	1.0	0.008697380800218242	0.009968869213249291	0.017394761600436483
12	1	66925947	0.9693934425223634	0.9693934425223634	66925946	3346	66	2.0	0.008922378103831336	0.010226759346448518	0.01784475620766267
12	66925947	133851895	0.9693934425223634	0.8083249936109553	66925948	3346	66	1.8153846153846154	0.0002959406597109123	0.0003392048479085531	0.0005918813194218247
13	1	9466822	1.6237340162249587	0.9693934425223634	9466821	473	9	2.75	0.006397469516975204	0.007332729056645952	0.012794939033950408
13	9466822	11576166	2.106939362959183	0.9693934425223634	2109344	105	2	3.3038461538461537	0.012372736244551806	0.014181532609089756	0.024745472489103613
13	11576166	115169878	1.6237340162249587	0.9693934425223634	103593712	5179	103	2.75	0.004462506954577521	0.005114890242851321	0.008925013909155042
14	1	53674770	0.9693934425223634	0.9693934425223634	53674769	2683	53	2.0	0.003920905922595059	0.004494111415568223	0.007841811845190118
14	53674770	107349540	1.8418475407924906	0.9693934425223634	53674770	2683	53	3.0	0.005974850829792661	0.006848326853687084	0.011949701659585322
15	1	102531392	0.9693934425223634	0.9693934425223634	102531391	5126	102	2.0	0.034503992510454905	0.039548203829712386	0.06900798502090981
16	1	90354753	0.9693934425223634	0.09693934425223631	90354752	4517	90	1.0	0.002777087777844609	0.0031830760877287713	0.005554175555689218
17	1	81195210	0.9693934425223634	0.9693934425223634	81195209	4059	81	2.0	0.02572645134858307	0.029487455442747786	0.05145290269716614
18	1	78077248	1.1875069670898952	0.9693934425223634	78077247	3903	78	2.25	0.0027600095618295997	0.003163501171353375	0.005520019123659199
19	1	59128983	1.8015804285646384	0.9693934425223634	59128982	2956	59	2.953846153846154	0.005096199902418334	0.005841224097087639	0.010192399804836667
