sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p2_t3	1	1	249250621	12462	249250620	0.05345	0.08651	1.5	3	3	0	0	3	3.02062906120572	0	1.08696	0.98815	1.18578	1	1	1	1	0	0	0.01	0	0.06191	0.19	0.01057	0.4609	0	0	0	0	0	1	1
p2_t3	2	1	209900405	10495	209900404	0.14877	0.07286	1	2	2.00715	0	0	2.00715	2.01375270747048	0	0.98815	0.98815	0.98815	1	1	1	0.99877	0	0	0.01	0	0.16669	0.01	0.00203	0.80534	0	0	0	0	0	1	0.99877
p2_t3	2	209900405	212572127	133	2671722	0.06307	0.00093	1.5	3	3	0	0	3	3.02062906120572	0	1.08696	0.98815	1.18578	1	1	1	1.00001	0	0	0.01	0	0.07216	0.19	0.00798	0.51233	0	0	0	0	0	1	1.00001
p2_t3	2	212572127	243199373	1531	30627246	0.00885	0.01063	1	2	2	0	0	2	2.01375270747048	0	0.98815	0.98815	0.98815	1	1	1	1	0	0	0.01	0	0.02344	0.01	0	0.05321	0	0	0	0	0	1	1
p2_t3	3	1	198022430	9901	198022429	0.10908	0.06873	0.5	1	1.00012	0	0	1.00012	1.00687635373524	0	0.88933	0.79052	0.98815	1	1	1	0.99987	1	0	0.2	0.08982	0.30856	0.01	0	0.61892	0	0	0	0	0	1	0.99987
p2_t3	4	1	191154276	9557	191154275	0.1322	0.06635	0.83333	2	1.97324	0	0	1.97324	1.67812054371637	0	0.95521	0.92227	0.98815	1	1	1	0.99934	0	0	0.07	0	0.20234	0.01	0.00078	0.73794	0	0	0	0	0	1	0.99934
p2_t3	5	1	39827982	1991	39827981	0.0353	0.01382	1	2	2	0	0	2	2.01375270747048	0	0.98815	0.98815	0.98815	1	1	1	1	0	0	0.01	0	0.04395	0.01	0	0.19982	0	0	0	0	0	1	1
p2_t3	5	39827982	42314699	124	2486717	0.04263	0.00086	1.5	3	3	0	0	3	3.02062906120572	0	1.08696	0.98815	1.18578	1	1	1	1	0	1	0.01	0	0.05023	0.19	0.0176	0.40445	0	0	0	0	0	1	1
p2_t3	5	42314699	180915260	6930	138600561	0.03827	0.04811	1	2	2	0	0	2	2.01375270747048	0	0.98815	0.98815	0.98815	1	1	1	1	0	0	0.01	0	0.04688	0.01	0	0.21689	0	0	0	0	0	1	1
p2_t3	6	1	22491975	1124	22491974	0.12896	0.00781	1	2	2.00124	0	0	2.00124	2.01375270747048	0	0.98815	0.98815	0.98815	1	1	1	0.99944	0	0	0.01	0	0.14465	0.01	0.00053	0.72273	0	0	0	0	0	1	0.99944
