Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	89169680	1.0	1.0	89169679	4458	89	2.0	0.010886161891613183	0.010886161891613183
1	89169680	96105933	2.0	1.0	6936253	346	6	3.0	0.01927304509089374	0.01927304509089374
1	96105933	249250621	1.0	1.0	153144688	7657	153	2.0	0.00808790133066296	0.00808790133066296
2	1	243199373	1.0	0.25	243199372	12159	243	1.25	0.0002609396504404412	0.0002609396504404412
3	1	198022430	1.0	1.0	198022429	9901	198	2.0	0.0005902905835790929	0.0005902905835790929
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.0008344801694883332	0.0008344801694883332
5	1	180915260	1.0	1.0	180915259	9045	180	2.0	0.007280228817271449	0.007280228817271449
6	1	85557533	1.0	0.0	85557532	4277	85	1.0	0.014069305451637384	0.014069305451637384
6	85557533	171115067	1.0	0.0	85557534	4277	85	1.0	0.0003280555409300897	0.0003280555409300897
7	1	11091667	1.0	0.0	11091666	554	11	1.0	0.006100707897909622	0.006100707897909622
7	11091667	16952986	1.0	0.0	5861319	293	5	1.0	0.01741814004758785	0.01741814004758785
7	16952986	159138663	1.0	0.0	142185677	7109	142	1.0	0.011044468198481778	0.011044468198481778
8	1	146364022	1.0	1.0	146364021	7318	146	2.0	0.007894765918336306	0.007894765918336306
9	1	141213431	2.0	0.0	141213430	7060	141	2.0	0.008887040418999086	0.008887040418999086
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.022679904436124554	0.022679904436124554
11	1	135006516	1.0	0.0	135006515	6750	135	1.0	0.00855849214928874	0.00855849214928874
12	1	75795600	1.0	1.0	75795599	3789	75	2.0	0.005478686915399954	0.005478686915399954
12	75795600	78863533	2.0	1.0	3067933	153	3	3.0	0.01213860563455349	0.01213860563455349
12	78863533	133851895	1.0	1.0	54988362	2749	54	2.0	0.004419331948309515	0.004419331948309515
13	1	115169878	1.0	1.0	115169877	5758	115	2.0	0.036086549790498	0.036086549790498
14	1	30439660	2.0	1.0	30439659	1521	30	3.0	0.02058091170660646	0.02058091170660646
14	30439660	32032615	4.0	2.0	1592955	79	1	6.0	0.0017037736316230423	0.0017037736316230423
14	32032615	107349540	2.0	1.0	75316925	3765	75	3.0	0.011524110189526832	0.011524110189526832
15	1	82256059	1.0	1.0	82256058	4112	82	2.0	0.0003466470346226841	0.0003466470346226841
15	82256059	82257477	1.0	1.0	1418	0	0	2.0	0.021646271628259623	0.021646271628259623
15	82257477	102531392	1.0	1.0	20273915	1013	20	2.0	0.01863385986005209	0.01863385986005209
16	1	620493	1.0	1.0	620492	31	0	2.0	0.007136111463574453	0.007136111463574453
16	620493	2061827	1.0	0.0	1441334	72	1	1.0	0.001366088563514259	0.001366088563514259
16	2061827	90354753	1.0	1.0	88292926	4414	88	2.0	0.009714679701688768	0.009714679701688768
17	1	30639740	1.0	1.0	30639739	1531	30	2.0	0.0027356486302831605	0.0027356486302831605
17	30639740	37749978	1.0	0.25	7110238	355	7	1.25	0.009966092842325299	0.009966092842325299
17	37749978	68199554	1.0	1.0	30449576	1522	30	2.0	0.01183339517175945	0.01183339517175945
17	68199554	71501735	1.0	0.0	3302181	165	3	1.0	0.0011233467862168023	0.0011233467862168023
17	71501735	81195210	1.0	1.0	9693475	484	9	2.0	0.006480703627201163	0.006480703627201163
18	1	39038624	1.0	0.0	39038623	1951	39	1.0	0.008809076160002658	0.008809076160002658
18	39038624	78077248	1.125	0.0	39038624	1951	39	1.125	0.0029252807236849546	0.0029252807236849546
19	1	59128983	1.0	0.0	59128982	2956	59	1.0	0.0022440720672292943	0.0022440720672292943
20	1	572717	1.0	1.0	572716	28	0	2.0	0.010157126645316525	0.010157126645316525
20	572717	853296	1.0	1.0	280579	14	0	2.0	0.014302193528962923	0.014302193528962923
20	853296	28015271	1.0	1.0	27161975	1358	27	2.0	0.00444898465329507	0.00444898465329507
20	28015271	28919620	3.0	1.0	904349	45	0	4.0	0.012340800371733365	0.012340800371733365
20	28919620	61949560	1.0	1.0	33029940	1651	33	2.0	0.008852168353074818	0.008852168353074818
20	61949560	62833731	1.0	0.875	884171	44	0	1.875	0.016585933980690516	0.016585933980690516
20	62833731	63025520	1.0	1.0	191789	9	0	2.0	0.002282466267965168	0.002282466267965168
21	1	48129895	1.0	1.0	48129894	2406	48	2.0	0.015915821071987826	0.015915821071987826
22	1	25652283	1.0	0.0	25652282	1282	25	1.0	0.0030980212993675614	0.0030980212993675614
22	25652283	51304566	1.0	0.0	25652283	1282	25	1.0	0.0035419861384670165	0.0035419861384670165
23	1	156040895	2.0	0.5	156040894	7802	156	2.5	0.03824569682207733	0.03824569682207733
24	1	57227415	1.0	1.0	57227414	2861	57	2.0	0.0004710583902150315	0.0004710583902150315
