Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	2.0	1.0	249250620	12462	249	3.0	0.0021167025347793677	0.0021167025347793677	0.0042334050695587355
2	1	209900405	1.0	1.0	209900404	10495	209	2.0	0.0030439541503741313	0.0030439541503741313	0.006087908300748263
2	209900405	212572127	2.0	1.0	2671722	133	2	3.0	0.028388650863816867	0.028388650863816867	0.05677730172763373
2	212572127	243199373	1.0	1.0	30627246	1531	30	2.0	0.058466418644455134	0.058466418644455134	0.11693283728891027
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.007144620058958867	0.007144620058958867	0.014289240117917735
4	1	191154276	1.0	0.6666666666666667	191154275	9557	191	1.6666666666666667	0.012048032288875767	0.012048032288875767	0.024096064577751534
5	1	39827982	1.0	1.0	39827981	1991	39	2.0	0.007701158446275501	0.007701158446275501	0.015402316892551003
5	39827982	42314699	2.0	1.0	2486717	124	2	3.0	0.010958275308143903	0.010958275308143903	0.021916550616287805
5	42314699	180915260	1.0	1.0	138600561	6930	138	2.0	0.0031943645807201854	0.0031943645807201854	0.006388729161440371
6	1	22491975	1.0	1.0	22491974	1124	22	2.0	1.2696167520012568e-05	1.2696167520012568e-05	2.5392335040025136e-05
6	22491975	23255188	1.2222222222222223	1.0	763213	38	0	2.2222222222222223	0.03847957138581089	0.03847957138581089	0.07695914277162177
6	23255188	171115067	1.0	1.0	147859879	7392	147	2.0	0.004463361383520888	0.004463361383520888	0.008926722767041775
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.001576963598116683	0.001576963598116683	0.003153927196233366
8	1	73182011	1.0	1.0	73182010	3659	73	2.0	0.01546641240229456	0.01546641240229456	0.03093282480458912
8	73182011	146364022	1.0	0.7777777777777778	73182011	3659	73	1.7777777777777777	0.009391456472831319	0.009391456472831319	0.018782912945662637
9	1	118183313	2.0	1.0	118183312	5909	118	3.0	0.01771293433374811	0.01771293433374811	0.03542586866749622
9	118183313	118587812	2.4444444444444446	1.0	404499	20	0	3.4444444444444446	0.0018185075410639177	0.0018185075410639177	0.0036370150821278353
9	118587812	141213431	2.0	1.0	22625619	1131	22	3.0	0.018045473241689782	0.018045473241689782	0.036090946483379564
10	1	135534747	1.6666666666666665	1.0	135534746	6776	135	2.6666666666666665	0.009817280561705858	0.009817280561705858	0.019634561123411717
11	1	135006516	1.0	1.0	135006515	6750	135	2.0	0.0147306015248529	0.0147306015248529	0.0294612030497058
12	1	100282058	1.0	1.0	100282057	5014	100	2.0	0.002337611842469003	0.002337611842469003	0.004675223684938006
12	100282058	104315956	1.0	0.0	4033898	201	4	1.0	0.006118144465686821	0.006118144465686821	0.012236288931373643
12	104315956	133851895	1.0	1.0	29535939	1476	29	2.0	0.0056821368910888815	0.0056821368910888815	0.011364273782177763
13	1	57584939	1.0	0.0	57584938	2879	57	1.0	0.0029048505275147945	0.0029048505275147945	0.005809701055029589
13	57584939	115169878	1.0	0.0	57584939	2879	57	1.0	0.005552223581585437	0.005552223581585437	0.011104447163170874
14	1	53674770	2.0	1.0	53674769	2683	53	3.0	0.0021090070831184453	0.0021090070831184453	0.0042180141662368905
14	53674770	96743901	1.0	1.0	43069131	2153	43	2.0	0.002352744810838451	0.002352744810838451	0.004705489621676902
14	96743901	103112291	1.6666666666666665	1.0	6368390	318	6	2.6666666666666665	0.07082529010849972	0.07082529010849972	0.14165058021699944
14	103112291	107349540	1.0	1.0	4237249	211	4	2.0	0.015188623967325609	0.015188623967325609	0.030377247934651217
15	1	102531392	1.0	0.0	102531391	5126	102	1.0	0.0027197174640854276	0.0027197174640854276	0.005439434928170855
16	1	64089709	1.2222222222222223	1.0	64089708	3204	64	2.2222222222222223	0.004932795092949904	0.004932795092949904	0.009865590185899808
16	64089709	64599365	1.0	0.8888888888888888	509656	25	0	1.8888888888888888	0.009139166568236214	0.009139166568236214	0.018278333136472428
16	64599365	90354753	1.2222222222222223	1.0	25755388	1287	25	2.2222222222222223	4.8606692159096425e-05	4.8606692159096425e-05	9.721338431819285e-05
17	1	81195210	1.0	0.0	81195209	4059	81	1.0	0.012704213850340724	0.012704213850340724	0.025408427700681448
18	1	78077248	1.0	1.0	78077247	3903	78	2.0	0.0011275728510479102	0.0011275728510479102	0.0022551457020958204
19	1	59128983	1.0	1.0	59128982	2956	59	2.0	0.03331177054221159	0.03331177054221159	0.06662354108442319
20	1	31512760	2.0	1.0	31512759	1575	31	3.0	0.014601577560782356	0.014601577560782356	0.02920315512156471
20	31512760	63025520	1.0	1.0	31512760	1575	31	2.0	0.009253619475684842	0.009253619475684842	0.018507238951369683
21	1	48129895	1.0	0.0	48129894	2406	48	1.0	0.01416205513301033	0.01416205513301033	0.02832411026602066
22	1	24985628	1.0	1.0	24985627	1249	24	2.0	0.005172386534068085	0.005172386534068085	0.01034477306813617
22	24985628	29245858	1.0	0.0	4260230	213	4	1.0	0.0026101627195938256	0.0026101627195938256	0.005220325439187651
22	29245858	51304566	1.0	1.0	22058708	1102	22	2.0	0.002408508193296176	0.002408508193296176	0.004817016386592352
