Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	1.0	1.0	249250620	12462	249	2.0	0.00979200437869091	0.00979200437869091
2	1	70903513	1.0	1.0	70903512	3545	70	2.0	0.0026361792730902746	0.0026361792730902746
2	70903513	71260184	1.0	0.0	356671	17	0	1.0	0.023603514714916	0.023603514714916
2	71260184	156726659	1.0	1.0	85466475	4273	85	2.0	0.010482570296100033	0.010482570296100033
2	156726659	157750713	1.0	0.0	1024054	51	1	1.0	0.001909773444561422	0.001909773444561422
2	157750713	243199373	1.0	1.0	85448660	4272	85	2.0	0.00101656188306499	0.00101656188306499
3	1	198022430	1.0	1.0	198022429	9901	198	2.0	0.012907456972003788	0.012907456972003788
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.0004481764593319561	0.0004481764593319561
5	1	90457630	2.0	1.0	90457629	4522	90	3.0	0.007788441852072037	0.007788441852072037
5	90457630	180915260	2.0	0.8666666666666667	90457630	4522	90	2.8666666666666667	0.028575555260982623	0.028575555260982623
6	1	171115067	2.0	1.0	171115066	8555	171	3.0	0.008588254060155618	0.008588254060155618
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.015324287447204838	0.015324287447204838
8	1	73182011	1.0	0.4666666666666667	73182010	3659	73	1.4666666666666668	0.006346388857744912	0.006346388857744912
8	73182011	146364022	1.0	1.0	73182011	3659	73	2.0	0.026264113818978113	0.026264113818978113
9	1	51318675	1.0	1.0	51318674	2565	51	2.0	0.013638821266315269	0.013638821266315269
9	51318675	52548969	1.0	0.0	1230294	61	1	1.0	0.0019089960089873224	0.0019089960089873224
9	52548969	141213431	1.0	1.0	88664462	4433	88	2.0	0.009885680272374311	0.009885680272374311
10	1	135534747	2.0	1.0	135534746	6776	135	3.0	0.023809330205862084	0.023809330205862084
11	1	135006516	1.0	1.0	135006515	6750	135	2.0	0.015440440340144627	0.015440440340144627
12	1	133851895	2.0	1.0	133851894	6692	133	3.0	0.0017733068993731544	0.0017733068993731544
13	1	115169878	1.0	0.0	115169877	5758	115	1.0	0.03348476506191799	0.03348476506191799
14	1	107349540	1.0	0.33333333333333337	107349539	5367	107	1.3333333333333335	0.010134101984674291	0.010134101984674291
15	1	7364554	1.3333333333333333	1.0	7364553	368	7	2.333333333333333	0.0026683206593860896	0.0026683206593860896
15	7364554	9737827	1.0	0.0	2373273	118	2	1.0	0.01081746467731951	0.01081746467731951
15	9737827	102531392	1.3333333333333333	1.0	92793565	4639	92	2.333333333333333	0.01282735108471774	0.01282735108471774
16	1	90354753	1.0	1.0	90354752	4517	90	2.0	0.004971128015027039	0.004971128015027039
17	1	14650808	1.0	0.0	14650807	732	14	1.0	0.007277587337947353	0.007277587337947353
17	14650808	15621223	1.2666666666666666	0.0	970415	48	0	1.2666666666666666	0.021604153136241498	0.021604153136241498
17	15621223	81195210	1.0	0.0	65573987	3278	65	1.0	0.003414337256752815	0.003414337256752815
18	1	78077248	1.0	1.0	78077247	3903	78	2.0	0.003805882087716867	0.003805882087716867
19	1	54655806	2.0	1.0	54655805	2732	54	3.0	0.016323608391204524	0.016323608391204524
19	54655806	56232770	2.6666666666666665	1.0	1576964	78	1	3.6666666666666665	0.002552406883978086	0.002552406883978086
19	56232770	59128983	2.0	1.0	2896213	144	2	3.0	0.005411080045044073	0.005411080045044073
20	1	63025520	1.0	1.0	63025519	3151	63	2.0	0.006205098670652923	0.006205098670652923
21	1	30098054	1.0	0.0	30098053	1504	30	1.0	0.0030008049634175325	0.0030008049634175325
21	30098054	32029044	1.3333333333333333	0.0	1930990	96	1	1.3333333333333333	0.005589218744387002	0.005589218744387002
21	32029044	48129895	1.0	0.0	16100851	805	16	1.0	0.003670007066341024	0.003670007066341024
22	1	51304566	1.0	1.0	51304565	2565	51	2.0	0.0015249987070574604	0.0015249987070574604
23	1	71089866	1.0	1.0	71089865	3554	71	2.0	0.008053062337437251	0.008053062337437251
23	71089866	79421885	2.0666666666666664	1.0	8332019	416	8	3.0666666666666664	0.001871734072171655	0.001871734072171655
23	79421885	156040895	1.0	1.0	76619010	3830	76	2.0	0.00039973299822414774	0.00039973299822414774
24	1	41234510	1.0	0.0	41234509	2061	41	1.0	0.04764951072469715	0.04764951072469715
24	41234510	42335672	1.0	0.0	1101162	55	1	1.0	0.004189740940430805	0.004189740940430805
24	42335672	57227415	1.0	0.0	14891743	744	14	1.0	0.0074170429527955105	0.0074170429527955105
