Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	1.0	0.0	249250620	12462	249	1.0	0.0031632889177310663	0.0031632889177310663	0.0063265778354621325
2	1	115116963	1.0	1.0	115116962	5755	115	2.0	0.0013411399465476511	0.0013411399465476511	0.0026822798930953022
2	115116963	129712734	4.0	1.0	14595771	729	14	5.0	0.009423907966910887	0.009423907966910887	0.018847815933821774
2	129712734	243199373	1.0	1.0	113486639	5674	113	2.0	0.018753929295099378	0.018753929295099378	0.037507858590198756
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.0269307268233823	0.0269307268233823	0.0538614536467646
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.001761032298181951	0.001761032298181951	0.003522064596363902
5	1	180915260	1.0	0.0	180915259	9045	180	1.0	0.0060283161101709285	0.0060283161101709285	0.012056632220341857
6	1	35374696	1.0	0.75	35374695	1768	35	1.75	0.00039415878896761425	0.00039415878896761425	0.0007883175779352285
6	35374696	39327455	1.0	0.75	3952759	197	3	1.75	0.0019160109314666194	0.0019160109314666194	0.003832021862933239
6	39327455	171115067	1.0	0.75	131787612	6589	131	1.75	0.004384171463551686	0.004384171463551686	0.008768342927103372
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.0036620337923363956	0.0036620337923363956	0.007324067584672791
8	1	45697804	1.0	1.0	45697803	2284	45	2.0	0.02845981688320143	0.02845981688320143	0.05691963376640286
8	45697804	48663006	1.0	1.0	2965202	148	2	2.0	0.003988672128501028	0.003988672128501028	0.007977344257002056
8	48663006	141858107	1.0	1.0	93195101	4659	93	2.0	0.04390974994055984	0.04390974994055984	0.08781949988111969
8	141858107	143391095	2.0	1.0	1532988	76	1	3.0	0.004824546899370296	0.004824546899370296	0.009649093798740592
8	143391095	146364022	1.0	1.0	2972927	148	2	2.0	0.010854092269806215	0.010854092269806215	0.02170818453961243
9	1	70606715	1.0	1.0	70606714	3530	70	2.0	0.0020810067976261633	0.0020810067976261633	0.004162013595252327
9	70606715	141213431	2.0	1.0	70606716	3530	70	3.0	0.002155055211737372	0.002155055211737372	0.004310110423474744
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.016022883371729003	0.016022883371729003	0.03204576674345801
11	1	67503258	1.0	0.0	67503257	3375	67	1.0	0.008046845907304877	0.008046845907304877	0.016093691814609755
11	67503258	135006516	1.0	0.0	67503258	3375	67	1.0	0.005175121480924975	0.005175121480924975	0.01035024296184995
12	1	66925947	1.0	1.0	66925946	3346	66	2.0	0.0019678574012062917	0.0019678574012062917	0.003935714802412583
12	66925947	133851895	1.0	0.75	66925948	3346	66	1.75	0.05972485502208983	0.05972485502208983	0.11944971004417966
13	1	9466822	1.0	1.0	9466821	473	9	2.0	0.027842051160183536	0.027842051160183536	0.05568410232036707
13	9466822	11576166	1.75	1.0	2109344	105	2	2.75	0.014034021239537831	0.014034021239537831	0.028068042479075662
13	11576166	115169878	1.0	1.0	103593712	5179	103	2.0	0.005492023395723951	0.005492023395723951	0.010984046791447903
14	1	53674770	1.0	1.0	53674769	2683	53	2.0	0.004449670626026665	0.004449670626026665	0.00889934125205333
14	53674770	107349540	2.0	1.0	53674770	2683	53	3.0	0.0027526341216026497	0.0027526341216026497	0.0055052682432052994
15	1	102531392	1.0	1.0	102531391	5126	102	2.0	0.02081170020015402	0.02081170020015402	0.04162340040030804
16	1	90354753	1.0	0.0	90354752	4517	90	1.0	0.016425618513893625	0.016425618513893625	0.03285123702778725
17	1	81195210	1.0	1.0	81195209	4059	81	2.0	0.0005068617787333358	0.0005068617787333358	0.0010137235574666716
18	1	78077248	2.0	1.0	78077247	3903	78	3.0	0.0016653658696658886	0.0016653658696658886	0.003330731739331777
19	1	59128983	1.75	1.0	59128982	2956	59	2.75	0.001058946672795704	0.001058946672795704	0.002117893345591408
20	1	42024600	1.0	1.0	42024599	2101	42	2.0	0.017442684285834936	0.017442684285834936	0.03488536857166987
20	42024600	42424646	2.0	1.0	400046	20	0	3.0	0.010448983431928897	0.010448983431928897	0.020897966863857795
20	42424646	63025520	1.0	1.0	20600874	1030	20	2.0	0.0015284169131041443	0.0015284169131041443	0.0030568338262082885
21	1	24064947	2.0	1.0	24064946	1203	24	3.0	0.00660931593693599	0.00660931593693599	0.01321863187387198
21	24064947	48129895	1.0	1.0	24064948	1203	24	2.0	0.015650014670683863	0.015650014670683863	0.031300029341367726
22	1	3123242	1.0	0.0	3123241	156	3	1.0	0.008152845382830566	0.008152845382830566	0.016305690765661133
22	3123242	4346182	0.5	0.0	1222940	61	1	0.5	0.00996596609955549	0.00996596609955549	0.01993193219911098
22	4346182	17788161	1.0	0.0	13441979	672	13	1.0	0.013364655107813657	0.013364655107813657	0.026729310215627314
22	17788161	18828259	1.0	0.0	1040098	52	1	1.0	0.0006825679934009003	0.0006825679934009003	0.0013651359868018006
22	18828259	51304566	1.0	0.0	32476307	1623	32	1.0	0.011450452975904458	0.011450452975904458	0.022900905951808916
