Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	1.0	0.0	249250620	12462	249	1.0	0.0028556892682812147	0.0028556892682812147
2	1	115116963	1.0	0.625	115116962	5755	115	1.625	0.007049493202803973	0.007049493202803973
2	115116963	129712734	2.5	1.0	14595771	729	14	3.5	0.0037161575546555544	0.0037161575546555544
2	129712734	243199373	1.0	0.625	113486639	5674	113	1.625	0.004668643441707057	0.004668643441707057
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.007443782500503771	0.007443782500503771
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.013886772897564435	0.013886772897564435
5	1	180915260	1.0	0.0	180915259	9045	180	1.0	0.004057263409133957	0.004057263409133957
6	1	35374696	1.0	0.9538461538461538	35374695	1768	35	1.9538461538461538	0.02579113158255738	0.02579113158255738
6	35374696	39327455	1.0	0.9538461538461538	3952759	197	3	1.9538461538461538	0.019828125724853835	0.019828125724853835
6	39327455	171115067	1.0	0.9538461538461538	131787612	6589	131	1.9538461538461538	0.0004991560801814644	0.0004991560801814644
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.0029255060354898277	0.0029255060354898277
8	1	45697804	1.0	0.25	45697803	2284	45	1.25	0.0059083522984428325	0.0059083522984428325
8	45697804	48663006	1.0	0.25	2965202	148	2	1.25	0.0011051588034614978	0.0011051588034614978
8	48663006	141858107	1.0	0.25	93195101	4659	93	1.25	0.004284410281976626	0.004284410281976626
8	141858107	143391095	1.0	0.5	1532988	76	1	1.5	0.013474488168632077	0.013474488168632077
8	143391095	146364022	1.0	0.25	2972927	148	2	1.25	0.011410433305824202	0.011410433305824202
9	1	70606715	1.0	1.0	70606714	3530	70	2.0	0.009738786076532245	0.009738786076532245
9	70606715	141213431	2.0	1.0	70606716	3530	70	3.0	0.012396980963584698	0.012396980963584698
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.002293171776890118	0.002293171776890118
11	1	67503258	1.0	0.0	67503257	3375	67	1.0	0.004180916608708023	0.004180916608708023
11	67503258	135006516	1.0	0.0	67503258	3375	67	1.0	0.011277604454733938	0.011277604454733938
12	1	66925947	1.0	1.0	66925946	3346	66	2.0	0.02113906808334282	0.02113906808334282
12	66925947	133851895	1.0	0.8153846153846154	66925948	3346	66	1.8153846153846154	0.007845566962774435	0.007845566962774435
13	1	9466822	1.75	1.0	9466821	473	9	2.75	0.0033226062922716575	0.0033226062922716575
13	9466822	11576166	2.3038461538461537	1.0	2109344	105	2	3.3038461538461537	0.0003070177092762817	0.0003070177092762817
13	11576166	115169878	1.75	1.0	103593712	5179	103	2.75	0.012390365102627808	0.012390365102627808
14	1	53674770	1.0	1.0	53674769	2683	53	2.0	7.915347380805356e-05	7.915347380805356e-05
14	53674770	107349540	2.0	1.0	53674770	2683	53	3.0	0.004662970189346933	0.004662970189346933
15	1	102531392	1.0	1.0	102531391	5126	102	2.0	0.007561662477198724	0.007561662477198724
16	1	90354753	1.0	0.0	90354752	4517	90	1.0	0.025524764712978057	0.025524764712978057
17	1	81195210	1.0	1.0	81195209	4059	81	2.0	0.0009375538865493666	0.0009375538865493666
18	1	78077248	1.25	1.0	78077247	3903	78	2.25	0.005207788632699998	0.005207788632699998
19	1	59128983	1.9538461538461538	1.0	59128982	2956	59	2.953846153846154	0.0002461364541127298	0.0002461364541127298
20	1	42024600	1.0	1.0	42024599	2101	42	2.0	0.004194793266558189	0.004194793266558189
20	42024600	42424646	1.25	1.0	400046	20	0	2.25	0.009734725370341944	0.009734725370341944
20	42424646	63025520	1.0	1.0	20600874	1030	20	2.0	0.0032721038778675262	0.0032721038778675262
21	1	24064947	1.25	1.0	24064946	1203	24	2.25	0.002354058641795282	0.002354058641795282
21	24064947	48129895	1.0	1.0	24064948	1203	24	2.0	0.001229625637761174	0.001229625637761174
22	1	3123242	1.0	0.0	3123241	156	3	1.0	0.008607147010568144	0.008607147010568144
22	3123242	4346182	0.7692307692307692	0.0	1222940	61	1	0.7692307692307692	0.011883291597146952	0.011883291597146952
22	4346182	17788161	1.0	0.0	13441979	672	13	1.0	0.011146110102192566	0.011146110102192566
22	17788161	18828259	1.0	0.0	1040098	52	1	1.0	0.029732082686555444	0.029732082686555444
22	18828259	51304566	1.0	0.0	32476307	1623	32	1.0	2.706874174015226e-05	2.706874174015226e-05
23	1	78020447	1.375	1.2307692307692308	78020446	3901	78	2.605769230769231	0.01041844470467142	0.01041844470467142
23	78020447	156040895	1.2307692307692308	1.0	78020448	3901	78	2.230769230769231	0.009172718057138506	0.009172718057138506
24	1	57227415	1.0	1.0	57227414	2861	57	2.0	0.008885287127117603	0.008885287127117603
