Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	0.934612008983567	0.2803836026950702	249250620	12462	249	1.0	0.019470407324666046	0.02976087118430643	0.03894081464933209
2	1	115116963	0.934612008983567	0.934612008983567	115116962	5755	115	2.0	0.010527534590893175	0.0160915278054295	0.02105506918178635
2	115116963	129712734	2.897297227849058	0.934612008983567	14595771	729	14	5.0	0.007479126312616201	0.01143198039205609	0.014958252625232402
2	129712734	243199373	0.934612008983567	0.934612008983567	113486639	5674	113	2.0	0.03357247586081947	0.05131613903969636	0.06714495172163894
3	1	198022430	0.934612008983567	0.2803836026950702	198022429	9901	198	1.0	0.00514019513229234	0.00785688160722519	0.01028039026458468
4	1	191154276	0.934612008983567	0.934612008983567	191154275	9557	191	2.0	0.009594368612657797	0.014665166661117038	0.019188737225315593
5	1	180915260	0.934612008983567	0.2803836026950702	180915259	9045	180	1.0	0.029047621987960043	0.04439981772229993	0.058095243975920086
6	1	35374696	0.934612008983567	0.6074978058393186	35374695	1768	35	1.5	0.0024059413163648167	0.003677524994694074	0.004811882632729633
6	35374696	39327455	0.934612008983567	0.6074978058393186	3952759	197	3	1.5	0.002843419253860145	0.004346217966888883	0.00568683850772029
6	39327455	171115067	0.934612008983567	0.6074978058393186	131787612	6589	131	1.5	0.001401724157140588	0.002142560829928968	0.002803448314281176
7	1	159138663	0.934612008983567	0.934612008983567	159138662	7956	159	2.0	0.028052518493866283	0.04287878396019369	0.056105036987732566
8	1	45697804	0.934612008983567	0.934612008983567	45697803	2284	45	2.0	0.018075543320588788	0.02762879622291724	0.036151086641177575
8	45697804	48663006	0.934612008983567	0.934612008983567	2965202	148	2	2.0	0.010689431331109221	0.016338989912944062	0.021378862662218442
8	48663006	141858107	0.934612008983567	0.934612008983567	93195101	4659	93	2.0	0.010189524570102726	0.015574873350285899	0.02037904914020545
8	141858107	143391095	1.5888404152720639	0.934612008983567	1532988	76	1	3.0	0.0038418767621196106	0.0058723784005573244	0.007683753524239221
8	143391095	146364022	0.934612008983567	0.934612008983567	2972927	148	2	2.0	0.028981388973087108	0.044298579356254836	0.057962777946174215
9	1	70606715	0.934612008983567	0.934612008983567	70606714	3530	70	2.0	0.024476413655557243	0.03741264277168028	0.048952827311114486
9	70606715	141213431	1.5888404152720639	0.934612008983567	70606716	3530	70	3.0	0.016445594061969406	0.025137389180740263	0.03289118812393881
10	1	135534747	0.934612008983567	0.934612008983567	135534746	6776	135	2.0	0.03340307672487302	0.05105720938406207	0.06680615344974604
11	1	67503258	0.934612008983567	0.2803836026950702	67503257	3375	67	1.0	0.00452127750066024	0.006910854767541964	0.00904255500132048
11	67503258	135006516	0.934612008983567	0.2803836026950702	67503258	3375	67	1.0	0.0005057761133305078	0.0007730879742746517	0.0010115522266610157
12	1	66925947	0.934612008983567	0.934612008983567	66925946	3346	66	2.0	0.0013527087790418783	0.002067639934370827	0.0027054175580837566
12	66925947	133851895	0.934612008983567	0.852833458197505	66925948	3346	66	1.875	0.001062079108945386	0.0016234072057046054	0.002124158217890772
13	1	9466822	0.934612008983567	0.934612008983567	9466821	473	9	2.0	0.007440868400311386	0.011373502478322787	0.014881736800622773
13	9466822	11576166	1.1799476613417534	0.934612008983567	2109344	105	2	2.375	0.020822220617646943	0.03182714235197075	0.041644441235293886
13	11576166	115169878	0.934612008983567	0.934612008983567	103593712	5179	103	2.0	0.0005062484119129935	0.0007738098912350677	0.001012496823825987
14	1	53674770	0.934612008983567	0.934612008983567	53674769	2683	53	2.0	0.0008559416174977745	0.0013083223065070146	0.001711883234995549
14	53674770	107349540	1.5888404152720639	0.934612008983567	53674770	2683	53	3.0	0.021391494865811097	0.03269728837848418	0.042782989731622194
15	1	102531392	0.934612008983567	0.934612008983567	102531391	5126	102	2.0	0.006734796959103042	0.010294259457962423	0.013469593918206084
16	1	90354753	0.934612008983567	0.2803836026950702	90354752	4517	90	1.0	0.0020512114077451808	0.0031353138873652826	0.0041024228154903615
17	1	81195210	0.934612008983567	0.934612008983567	81195209	4059	81	2.0	0.055218650067592676	0.0844027094158959	0.11043730013518535
18	1	78077248	1.5888404152720639	0.934612008983567	78077247	3903	78	3.0	0.01145109112694302	0.017503200742850965	0.02290218225388604
19	1	59128983	1.2617262121278154	0.934612008983567	59128982	2956	59	2.5	0.016637129315948487	0.0254301542947861	0.03327425863189697
20	1	42024600	0.934612008983567	0.934612008983567	42024599	2101	42	2.0	0.05022407664367858	0.07676841323446162	0.10044815328735716
20	42024600	42424646	1.5888404152720639	0.934612008983567	400046	20	0	3.0	0.009966430068552046	0.015233869353201276	0.019932860137104092
20	42424646	63025520	0.934612008983567	0.934612008983567	20600874	1030	20	2.0	0.009531623099210872	0.01456925900433569	0.019063246198421743
21	1	24064947	1.5888404152720639	0.934612008983567	24064946	1203	24	3.0	0.00910962399265004	0.013924225706324563	0.01821924798530008
21	24064947	48129895	0.934612008983567	0.934612008983567	24064948	1203	24	2.0	0.00717891988663454	0.01097310941810257	0.01435783977326908
22	1	3123242	0.934612008983567	0.2803836026950702	3123241	156	3	1.0	0.020797818717958733	0.03178984360515135	0.04159563743591747
22	3123242	4346182	0.4439407042671944	0.2803836026950702	1222940	61	1	0.25	0.005068910155410214	0.007747921225503869	0.010137820310820427
22	4346182	17788161	0.934612008983567	0.2803836026950702	13441979	672	13	1.0	0.011953920455889751	0.018271784503680506	0.023907840911779502
22	17788161	18828259	0.934612008983567	0.2803836026950702	1040098	52	1	1.0	0.005791349090169724	0.00885218225699588	0.011582698180339447
22	18828259	51304566	0.934612008983567	0.2803836026950702	32476307	1623	32	1.0	0.026698344014534088	0.04080890367631155	0.053396688029068176
