Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	0.9693934425223634	0.09693934425223631	249250620	12462	249	1.0	0.008525018471579214	0.009771308872847679	0.017050036943158427
2	1	115116963	0.9693934425223634	0.6422231556710657	115116962	5755	115	1.625	0.00468539252818495	0.00537035992778874	0.0093707850563699
2	115116963	129712734	2.278074589927554	0.9693934425223634	14595771	729	14	3.5	0.010006074812912017	0.011468883959341505	0.020012149625824035
2	129712734	243199373	0.9693934425223634	0.6422231556710657	113486639	5674	113	1.625	0.00222633418024419	0.0025518066619877097	0.00445266836048838
3	1	198022430	0.9693934425223634	0.09693934425223631	198022429	9901	198	1.0	0.007796382146957979	0.008936151669659624	0.015592764293915958
4	1	191154276	0.9693934425223634	0.9693934425223634	191154275	9557	191	2.0	0.008469022426015065	0.0097071266474731	0.01693804485203013
5	1	180915260	0.9693934425223634	0.09693934425223631	180915259	9045	180	1.0	0.0019110244625308113	0.002190401152702391	0.0038220489250616226
6	1	35374696	0.9693934425223634	0.9291263302945113	35374695	1768	35	1.9538461538461538	0.016526359420152556	0.018942382702907202	0.03305271884030511
6	35374696	39327455	0.9693934425223634	0.9291263302945113	3952759	197	3	1.9538461538461538	0.033399522981463384	0.03828226957462501	0.06679904596292677
6	39327455	171115067	0.9693934425223634	0.9291263302945113	131787612	6589	131	1.9538461538461538	0.010738486990414938	0.012308369015294732	0.021476973980829876
7	1	159138663	0.9693934425223634	0.9693934425223634	159138662	7956	159	2.0	0.009240488211657289	0.010591374640773676	0.018480976423314577
8	1	45697804	0.9693934425223634	0.3150528688197681	45697803	2284	45	1.25	0.0071081147354611005	0.00814726499600934	0.014216229470922201
8	45697804	48663006	0.9693934425223634	0.3150528688197681	2965202	148	2	1.25	0.002279730966719984	0.0026130096371146153	0.004559461933439968
8	48663006	141858107	0.9693934425223634	0.3150528688197681	93195101	4659	93	1.25	0.0073857936921300615	0.00846553842405505	0.014771587384260123
8	141858107	143391095	0.9693934425223634	0.5331663933872999	1532988	76	1	1.5	0.013196895726397815	0.015126177700997886	0.02639379145279563
8	143391095	146364022	0.9693934425223634	0.3150528688197681	2972927	148	2	1.25	0.002939897349308801	0.0033696871332691675	0.005879794698617602
9	1	70606715	0.9693934425223634	0.9693934425223634	70606714	3530	70	2.0	0.0005147214237215404	0.0005899696324908242	0.0010294428474430808
9	70606715	141213431	1.8418475407924906	0.9693934425223634	70606716	3530	70	3.0	0.018236576820987296	0.02090262038673	0.03647315364197459
10	1	135534747	0.9693934425223634	0.9693934425223634	135534746	6776	135	2.0	0.012864023236894676	0.014744641881333393	0.025728046473789352
11	1	67503258	0.9693934425223634	0.09693934425223631	67503257	3375	67	1.0	0.008960714050612616	0.010270699706012753	0.017921428101225233
11	67503258	135006516	0.9693934425223634	0.09693934425223631	67503258	3375	67	1.0	0.028114932560375065	0.032225113752254037	0.05622986512075013
12	1	66925947	0.9693934425223634	0.9693934425223634	66925946	3346	66	2.0	0.000493900391052049	0.0005661047292130763	0.000987800782104098
12	66925947	133851895	0.9693934425223634	0.8083249936109553	66925948	3346	66	1.8153846153846154	0.029586244745193193	0.03391152016347429	0.059172489490386386
13	1	9466822	1.6237340162249587	0.9693934425223634	9466821	473	9	2.75	0.04836405115291423	0.055434493629875604	0.09672810230582846
13	9466822	11576166	2.106939362959183	0.9693934425223634	2109344	105	2	3.3038461538461537	0.002424692491865682	0.002779163392863053	0.004849384983731364
13	11576166	115169878	1.6237340162249587	0.9693934425223634	103593712	5179	103	2.75	0.005243638877291409	0.0060102174861558005	0.010487277754582818
14	1	53674770	0.9693934425223634	0.9693934425223634	53674769	2683	53	2.0	0.023628591622726625	0.02708290518616006	0.04725718324545325
14	53674770	107349540	1.8418475407924906	0.9693934425223634	53674770	2683	53	3.0	0.006920782573641875	0.007932546350993332	0.01384156514728375
15	1	102531392	0.9693934425223634	0.9693934425223634	102531391	5126	102	2.0	0.002609034289594126	0.0029904545061651177	0.005218068579188252
16	1	90354753	0.9693934425223634	0.09693934425223631	90354752	4517	90	1.0	0.004209788470425746	0.004825226311358699	0.008419576940851492
17	1	81195210	0.9693934425223634	0.9693934425223634	81195209	4059	81	2.0	0.007717321411716971	0.008845532879057613	0.015434642823433943
18	1	78077248	1.1875069670898952	0.9693934425223634	78077247	3903	78	2.25	0.009701323622616513	0.011119580550830096	0.019402647245233027
19	1	59128983	1.8015804285646384	0.9693934425223634	59128982	2956	59	2.953846153846154	0.0031958075420176605	0.003663009375913531	0.006391615084035321
20	1	42024600	0.9693934425223634	0.9693934425223634	42024599	2101	42	2.0	0.006102858503773847	0.006995048239069989	0.012205717007547695
20	42024600	42424646	1.1875069670898952	0.9693934425223634	400046	20	0	2.25	0.002661266567566046	0.0030503227308378935	0.005322533135132092
20	42424646	63025520	0.9693934425223634	0.9693934425223634	20600874	1030	20	2.0	0.0001105847395522954	0.0001267513554828376	0.0002211694791045908
21	1	24064947	1.1875069670898952	0.9693934425223634	24064946	1203	24	2.25	0.016074729048221985	0.018424727535917847	0.03214945809644397
21	24064947	48129895	0.9693934425223634	0.9693934425223634	24064948	1203	24	2.0	0.03222344246769836	0.036934255374110714	0.06444688493539671
22	1	3123242	0.9693934425223634	0.09693934425223631	3123241	156	3	1.0	0.004753796531703757	0.005448764056618482	0.009507593063407514
22	3123242	4346182	0.7680578813831032	0.09693934425223631	1222940	61	1	0.7692307692307692	0.002805732800149114	0.0032159087861610455	0.005611465600298228
22	4346182	17788161	0.9693934425223634	0.09693934425223631	13441979	672	13	1.0	0.006249912338680972	0.007163600183749598	0.012499824677361944
22	17788161	18828259	0.9693934425223634	0.09693934425223631	1040098	52	1	1.0	0.006012537852336758	0.006891523421413479	0.012025075704673515
22	18828259	51304566	0.9693934425223634	0.09693934425223631	32476307	1623	32	1.0	0.01620898053106538	0.018578605525727952	0.03241796106213076
