Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	1.0	0.0	249250620	12462	249	1.0	0.0168721827772395	0.0168721827772395
2	1	115116963	1.0	1.0	115116962	5755	115	2.0	0.042330156072297544	0.042330156072297544
2	115116963	129712734	4.0	1.0	14595771	729	14	5.0	0.03472855738233016	0.03472855738233016
2	129712734	243199373	1.0	1.0	113486639	5674	113	2.0	0.023533348040963624	0.023533348040963624
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.0035176738439522018	0.0035176738439522018
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.048297201526501445	0.048297201526501445
5	1	180915260	1.0	0.0	180915259	9045	180	1.0	0.00286909092686232	0.00286909092686232
6	1	35374696	1.0	0.75	35374695	1768	35	1.75	0.0011194453715028985	0.0011194453715028985
6	35374696	39327455	1.0	0.75	3952759	197	3	1.75	0.030149683269135395	0.030149683269135395
6	39327455	171115067	1.0	0.75	131787612	6589	131	1.75	0.0026581654885814623	0.0026581654885814623
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.011704357287585763	0.011704357287585763
8	1	45697804	1.0	1.0	45697803	2284	45	2.0	0.0006012837638344524	0.0006012837638344524
8	45697804	48663006	1.0	1.0	2965202	148	2	2.0	0.013119630678062497	0.013119630678062497
8	48663006	141858107	1.0	1.0	93195101	4659	93	2.0	0.02134702379179043	0.02134702379179043
8	141858107	143391095	2.0	1.0	1532988	76	1	3.0	0.00318054542070784	0.00318054542070784
8	143391095	146364022	1.0	1.0	2972927	148	2	2.0	0.004765158213385128	0.004765158213385128
9	1	70606715	1.0	1.0	70606714	3530	70	2.0	0.004688781561417263	0.004688781561417263
9	70606715	141213431	2.0	1.0	70606716	3530	70	3.0	0.01381459100019375	0.01381459100019375
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.0027155579273792814	0.0027155579273792814
11	1	67503258	1.0	0.0	67503257	3375	67	1.0	0.0018856472372421591	0.0018856472372421591
11	67503258	135006516	1.0	0.0	67503258	3375	67	1.0	0.005965499179253608	0.005965499179253608
12	1	66925947	1.0	1.0	66925946	3346	66	2.0	0.003630788443186174	0.003630788443186174
12	66925947	133851895	1.0	0.75	66925948	3346	66	1.75	0.018275262768800732	0.018275262768800732
13	1	9466822	1.0	1.0	9466821	473	9	2.0	0.002714699696758789	0.002714699696758789
13	9466822	11576166	1.75	1.0	2109344	105	2	2.75	0.006979375510638806	0.006979375510638806
13	11576166	115169878	1.0	1.0	103593712	5179	103	2.0	0.02857425296918422	0.02857425296918422
14	1	53674770	1.0	1.0	53674769	2683	53	2.0	0.010051156552854202	0.010051156552854202
14	53674770	107349540	2.0	1.0	53674770	2683	53	3.0	0.020195845025676153	0.020195845025676153
15	1	102531392	1.0	1.0	102531391	5126	102	2.0	0.02816911660497659	0.02816911660497659
16	1	90354753	1.0	0.0	90354752	4517	90	1.0	0.013893584983425971	0.013893584983425971
17	1	81195210	1.0	1.0	81195209	4059	81	2.0	0.012025573406499726	0.012025573406499726
18	1	78077248	2.0	1.0	78077247	3903	78	3.0	0.03440943911084469	0.03440943911084469
19	1	59128983	1.75	1.0	59128982	2956	59	2.75	0.051851296996978505	0.051851296996978505
20	1	42024600	1.0	1.0	42024599	2101	42	2.0	0.006011546483760796	0.006011546483760796
20	42024600	42424646	2.0	1.0	400046	20	0	3.0	0.0007350637580901314	0.0007350637580901314
20	42424646	63025520	1.0	1.0	20600874	1030	20	2.0	0.0034643332798916884	0.0034643332798916884
21	1	24064947	2.0	1.0	24064946	1203	24	3.0	0.001652930157049269	0.001652930157049269
21	24064947	48129895	1.0	1.0	24064948	1203	24	2.0	0.005404027029077102	0.005404027029077102
22	1	3123242	1.0	0.0	3123241	156	3	1.0	0.0014074515331290382	0.0014074515331290382
22	3123242	4346182	0.5	0.0	1222940	61	1	0.5	0.009266385968862844	0.009266385968862844
22	4346182	17788161	1.0	0.0	13441979	672	13	1.0	0.004825752161899414	0.004825752161899414
22	17788161	18828259	1.0	0.0	1040098	52	1	1.0	0.022574767870126723	0.022574767870126723
22	18828259	51304566	1.0	0.0	32476307	1623	32	1.0	0.03435623368024557	0.03435623368024557
23	1	78020447	1.5	1.0	78020446	3901	78	2.5	0.007916091055720595	0.007916091055720595
23	78020447	156040895	1.5	1.0	78020448	3901	78	2.5	0.0032134030182597133	0.0032134030182597133
24	1	57227415	1.0	1.0	57227414	2861	57	2.0	0.008970530159776252	0.008970530159776252
