Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	1.0	0.0	249250620	12462	249	1.0	0.00033871855440787373	0.00033871855440787373
2	1	115116963	1.0	1.0	115116962	5755	115	2.0	0.03193761883085381	0.03193761883085381
2	115116963	129712734	4.0	1.0	14595771	729	14	5.0	0.004390769838555839	0.004390769838555839
2	129712734	243199373	1.0	1.0	113486639	5674	113	2.0	0.004411548116477952	0.004411548116477952
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.00016463281859021168	0.00016463281859021168
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.0020485226801855603	0.0020485226801855603
5	1	180915260	1.0	0.0	180915259	9045	180	1.0	0.005129269981133589	0.005129269981133589
6	1	35374696	1.0	0.5	35374695	1768	35	1.5	0.026491883174462907	0.026491883174462907
6	35374696	39327455	1.0	0.5	3952759	197	3	1.5	0.0010493275185211141	0.0010493275185211141
6	39327455	171115067	1.0	0.5	131787612	6589	131	1.5	0.029059196042996307	0.029059196042996307
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.02036294167549806	0.02036294167549806
8	1	45697804	1.0	1.0	45697803	2284	45	2.0	0.00605433777711988	0.00605433777711988
8	45697804	48663006	1.0	1.0	2965202	148	2	2.0	0.003955655930534141	0.003955655930534141
8	48663006	141858107	1.0	1.0	93195101	4659	93	2.0	0.0026493493387136553	0.0026493493387136553
8	141858107	143391095	2.0	1.0	1532988	76	1	3.0	0.009531225375802638	0.009531225375802638
8	143391095	146364022	1.0	1.0	2972927	148	2	2.0	0.00033633923500440207	0.00033633923500440207
9	1	70606715	1.0	1.0	70606714	3530	70	2.0	0.0001572912103564306	0.0001572912103564306
9	70606715	141213431	2.0	1.0	70606716	3530	70	3.0	0.005600083793612688	0.005600083793612688
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.0007050194596877859	0.0007050194596877859
11	1	67503258	1.0	0.0	67503257	3375	67	1.0	0.002902734114003996	0.002902734114003996
11	67503258	135006516	1.0	0.0	67503258	3375	67	1.0	0.002499508210038628	0.002499508210038628
12	1	66925947	1.0	1.0	66925946	3346	66	2.0	0.002919460753686314	0.002919460753686314
12	66925947	133851895	1.0	0.875	66925948	3346	66	1.875	0.001404757129463228	0.001404757129463228
13	1	9466822	1.0	1.0	9466821	473	9	2.0	0.00012109244758244809	0.00012109244758244809
13	9466822	11576166	1.375	1.0	2109344	105	2	2.375	0.00122715012163683	0.00122715012163683
13	11576166	115169878	1.0	1.0	103593712	5179	103	2.0	0.009635926851998535	0.009635926851998535
14	1	53674770	1.0	1.0	53674769	2683	53	2.0	0.03659561955471154	0.03659561955471154
14	53674770	107349540	2.0	1.0	53674770	2683	53	3.0	0.046402795247685695	0.046402795247685695
15	1	102531392	1.0	1.0	102531391	5126	102	2.0	0.005260307976994564	0.005260307976994564
16	1	90354753	1.0	0.0	90354752	4517	90	1.0	0.0017787676080722834	0.0017787676080722834
17	1	81195210	1.0	1.0	81195209	4059	81	2.0	0.010182175864284727	0.010182175864284727
18	1	78077248	2.0	1.0	78077247	3903	78	3.0	0.006739434512904061	0.006739434512904061
19	1	59128983	1.5	1.0	59128982	2956	59	2.5	0.045478240888469496	0.045478240888469496
20	1	42024600	1.0	1.0	42024599	2101	42	2.0	0.0006753415787549574	0.0006753415787549574
20	42024600	42424646	2.0	1.0	400046	20	0	3.0	0.015289388703453213	0.015289388703453213
20	42424646	63025520	1.0	1.0	20600874	1030	20	2.0	0.00340237211516877	0.00340237211516877
21	1	24064947	2.0	1.0	24064946	1203	24	3.0	0.002763051953443904	0.002763051953443904
21	24064947	48129895	1.0	1.0	24064948	1203	24	2.0	0.010862033140432934	0.010862033140432934
22	1	3123242	1.0	0.0	3123241	156	3	1.0	0.0028244671420833843	0.0028244671420833843
22	3123242	4346182	0.25	0.0	1222940	61	1	0.25	0.010961925712246091	0.010961925712246091
22	4346182	17788161	1.0	0.0	13441979	672	13	1.0	0.007283775813901301	0.007283775813901301
22	17788161	18828259	1.0	0.0	1040098	52	1	1.0	0.005518021240338825	0.005518021240338825
22	18828259	51304566	1.0	0.0	32476307	1623	32	1.0	0.008089796892197217	0.008089796892197217
23	1	78020447	1.75	1.0	78020446	3901	78	2.75	0.0033834611913036755	0.0033834611913036755
23	78020447	156040895	1.75	1.0	78020448	3901	78	2.75	0.012261322079671549	0.012261322079671549
24	1	57227415	1.0	1.0	57227414	2861	57	2.0	0.005358987938706935	0.005358987938706935
