sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p2_t3	1	1	59008044	2950	59008043	0.08841	0.02048	1	2	2.44552	0	0	2.44552	1.96	0	0.90024	0.90024	0.90024	1	1	0.50537	0.85446	1	0	0.52	0.10207	0.90795	0.52	0.01676	0.97353	0	0	0	0	0	0.50537	0.85446
p2_t3	1	59008044	59513937	25	505893	0.13951	0.00018	0.5	1	1.13478	0	0	1.13478	-3.02	0	0.81022	0.72019	0.90024	0	1	0.00085	1.01465	0	0	1	0.4472	1	0.52	0.01585	0.97427	1	0	0	0	0	0.00085	1.01465
p2_t3	1	59513937	150253045	4536	90739108	0.10255	0.0315	1	3	2.56459	0	0	2.56459	1.96	0	0.90024	0.90024	0.90024	1	1	0.52574	0.91164	1	0	0.52	0.07371	0.93	0.52	0.01636	0.97385	0	0	0	0	0	0.52574	0.91164
p2_t3	1	150253045	151397637	57	1144592	0.08744	4e-04	1.5	6	6.19609	0	0	6.19609	6.94	0	0.99027	0.90024	1.08029	1	1	0.50363	1.21149	1	0	0.52	0.10449	0.90601	0.38	0.0156	0.97226	0	0	0	0	0	0.50363	1.21149
p2_t3	1	151397637	249250621	4892	97852984	0.06121	0.03396	1	2	2.2204	0	0	2.2204	1.96	0	0.90024	0.90024	0.90024	0	1	0.42508	0.71024	1	0	0.52	0.19894	0.82312	0.52	0.0185	0.97214	1	0	0	0	0	0.42508	0.71024
p2_t3	2	1	243199373	12159	243199372	0.11532	0.08441	0.5	1	0.83976	0	0	0.83976	-3.02	0	0.81022	0.72019	0.90024	0	1	3e-05	0.95386	0	0	1	0.5703	1	0.52	0.01613	0.97404	1	0	0	0	0	3e-05	0.95386
p2_t3	3	1	198022430	9901	198022429	0.06393	0.06873	0.5	0	0.00888	1	0	0.00888	-3.02	0	0.81022	0.72019	0.90024	0	1	0	0.7264	1	0	NA	NA	NA	0.52	0.01821	0.97237	1	0	0	0	0	0	0.7264
p2_t3	4	1	191154276	9557	191154275	0.24699	0.06635	1	3	3.41554	0	0	3.41554	1.96	0	0.90024	0.90024	0.90024	1	1	0.61403	1.13326	0	0	0.52	0.02174	0.96957	0.52	0.01544	0.9746	0	0	0	0	0	0.61403	1.13326
p2_t3	5	1	90457630	4522	90457629	0.36822	0.0314	1	4	3.6852	0	0	3.6852	1.96	0	0.90024	0.90024	0.90024	1	1	0.74027	1.17181	0	0	0.52	0.018	0.97254	0.52	0.01533	0.97468	0	0	0	0	0	0.74027	1.17181
p2_t3	5	90457630	180915260	4522	90457630	0.05372	0.0314	0.73333	0	0.43196	1	0	0.43196	-0.6960332	0	0.85223	0.80422	0.90024	0	1	0	0.66528	0	0	0.99	0.67299	1	0.52	0.01955	0.97131	1	0	0	0	0	0	0.66528
