sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p2_t2	1	1	59008044	2950	59008043	0.01925	0.02048	1	2	2	0	0	2	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.08025	0.13931	0.11	0.07598	0.14304	0	0	0	0	0	1	1
p2_t2	1	59008044	59513937	25	505893	0.03038	0.00018	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.96231	1	0.11	0.06417	0.15506	1	0	0	0	0	0	1
p2_t2	1	59513937	150253045	4536	90739108	0.02233	0.0315	1	2	2	0	0	2	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.07695	0.14195	0.11	0.07291	0.14642	0	0	0	0	0	1	1
p2_t2	1	150253045	151397637	57	1144592	0.01904	4e-04	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.08034	0.13922	0.79	0.75048	0.81652	0	0	0	0	0	1	2
p2_t2	1	151397637	249250621	4892	97852984	0.01333	0.03396	1	2	2	0	0	2	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.08281	0.13654	0.11	0.08157	0.1379	0	0	0	0	0	1	1
p2_t2	2	1	243199373	12159	243199372	0.02511	0.08441	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.96784	1	0.11	0.07073	0.14874	1	0	0	0	0	0	1
p2_t2	3	1	198022430	9901	198022429	0.01392	0.06873	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.97626	1	0.11	0.08127	0.13823	1	0	0	0	0	0	1
p2_t2	4	1	191154276	9557	191154275	0.05378	0.06635	1	2	2	0	0	2	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.04811	0.17097	0.11	0.03691	0.18267	0	0	0	0	0	1	1
p2_t2	5	1	90457630	4522	90457629	0.08017	0.0314	1	2	1.99999	0	0	1.99999	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.02369	0.19823	0.11	0.01349	0.2161	0	0	0	0	0	1	1
p2_t2	5	90457630	180915260	4522	90457630	0.0117	0.0314	0.88889	2	2	0	0	2	1.58745340588235	0	0.88098	0.7891	0.97286	1	1	1	1	1	1	0.32	0.28412	0.33625	0.11	0.08244	0.13695	0	0	0	0	0	1	1
p2_t2	6	1	106930291	5346	106930290	0.03794	0.03712	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.95439	1	0.11	0.05551	0.16364	1	0	0	0	0	0	1
p2_t2	6	106930291	106938387	0	8096	0.0182	0	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.14593	2.62673	0	3	0	3	0	1	1	0.97284	1	0.69	0.65285	0.71799	1	0	0	0	0	0	3
p2_t2	6	106938387	171115067	3208	64176680	0.0203	0.02228	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.97165	1	0.11	0.07482	0.14433	1	0	0	0	0	0	1
p2_t2	7	1	1278676	63	1278675	0.06284	0.00044	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.03943	0.17995	0.79	0.69889	0.86729	0	0	0	0	0	1	2
p2_t2	7	1278676	4156826	143	2878150	0.00178	0.001	1.61111	3	3	0	0	3	3.16401718235294	0	1.47821	1.15663	1.7998	1	2	1	2	1	1	0.09	0.0601	0.1033	0.79	0.76103	0.80595	0	0	0	0	0	1	2
p2_t2	7	4156826	159138663	7749	154981837	0.0022	0.05379	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.0876	0.13088	0.79	0.761	0.80601	0	0	0	0	0	1	2
p2_t2	8	1	146364022	7318	146364021	0.00049	0.0508	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.98118	1	0.11	0.08782	0.13061	1	0	0	0	0	0	1
p2_t2	9	1	85298823	4264	85298822	0.04323	0.02961	1.16667	2	2	0	0	2	2.19383080588235	0	1.11069	0.97286	1.24851	1	1	1	1	1	1	0.11	0.05858	0.16036	0.19	0.12124	0.24113	0	0	0	0	0	1	1
p2_t2	9	85298823	86316183	50	1017360	0.03642	0.00035	0.83333	1	1.01831	0	0	1.01831	1.46616919411765	0	0.83504	0.69722	0.97286	1	1	1	1	1	1	0.42	0.36535	0.45564	0.11	0.05758	0.16145	0	0	0	0	0	1	1
p2_t2	9	86316183	141213431	2744	54897248	0.04935	0.01905	1.16667	2	2	0	0	2	2.19383080588235	0	1.11069	0.97286	1.24851	1	1	1	1	1	1	0.11	0.0523	0.16704	0.19	0.11349	0.24868	0	0	0	0	0	1	1
p2_t2	10	1	16293710	814	16293709	0.093	0.00566	1.5	3	2.99998	0	0	2.99998	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.01544	0.21169	0.79	0.66078	0.90514	0	0	0	0	0	1	2
p2_t2	10	16293710	17139888	42	846178	0.03882	0.00029	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.9535	1	0.11	0.05445	0.16477	1	0	0	0	0	0	1
p2_t2	10	17139888	128797053	5582	111657165	0.01497	0.03876	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.08207	0.13735	0.79	0.75308	0.81218	0	0	0	0	0	1	2
p2_t2	10	128797053	134907268	305	6110215	0.03668	0.00212	1.83333	4	4	0	0	4	3.64911037058824	0	1.66198	1.52415	1.7998	1	2	1	2	1	1	0.49	0.43694	0.52734	0.79	0.73088	0.83561	0	0	0	0	0	1	2
p2_t2	10	134907268	135534747	31	627479	0.00304	0.00022	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.0874	0.13114	0.79	0.76091	0.80617	0	0	0	0	0	1	2
p2_t2	11	1	135006516	6750	135006515	0.0247	0.04686	1	2	2	0	0	2	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.07469	0.14447	0.11	0.07103	0.14843	0	0	0	0	0	1	1
p2_t2	12	1	133851895	6692	133851894	0.00374	0.04646	1	2	2	0	0	2	1.83	0	0.97286	0.97286	0.97286	1	1	1	1	1	1	0.11	0.08718	0.1314	0.11	0.0869	0.13174	0	0	0	0	0	1	1
p2_t2	13	1	115169878	5758	115169877	0.07	0.03998	0.5	1	1	0	0	1	0.738529411764706	0	0.5594	0.14593	0.97286	0	1	0	1	0	1	1	0.91897	1	0.11	0.02079	0.20302	1	0	0	0	0	0	1
p2_t2	14	1	107349540	5367	107349539	0.01784	0.03726	1.5	3	3	0	0	3	2.92147058823529	0	1.38633	0.97286	1.7998	1	2	1	2	1	1	0.11	0.08084	0.13869	0.79	0.7512	0.81544	0	0	0	0	0	1	2
