sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p2_t1	1	1	59008044	2950	59008043	0.03418	0.02048	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.09789	0.24968	0.18	0.03549	0.31978	0	0	0	0	0	1	1
p2_t1	1	59008044	59513937	25	505893	0.05393	0.00018	0.5	0	0.00033	1	0	0.00033	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.91942	1	0.18	0.01115	0.40187	1	0	0	0	0	0	1
p2_t1	1	59513937	150253045	4536	90739108	0.03964	0.0315	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.08885	0.25903	0.18	0.02439	0.34212	0	0	0	0	0	1	1
p2_t1	1	150253045	151397637	57	1144592	0.0338	4e-04	1.5	4	4	0	0	4	3.865	0	1.16436	0.93149	1.39724	1	2	1	2	1	1	0.18	0.09862	0.24918	0.73	0.58223	0.87068	0	0	0	0	0	1	2
p2_t1	1	151397637	249250621	4892	97852984	0.02366	0.03396	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.11405	0.23375	0.18	0.06967	0.27863	0	0	0	0	0	1	1
p2_t1	2	1	243199373	12159	243199372	0.04458	0.08441	0.5	0	0	1	0	0	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.93573	1	0.18	0.01795	0.3625	1	0	0	0	0	0	1
p2_t1	3	1	198022430	9901	198022429	0.02471	0.06873	0.5	0	0	1	0	0	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	1	1	NA	NA	NA	0.18	0.06541	0.28278	1	0	0	0	0	0	1
p2_t1	4	1	191154276	9557	191154275	0.09548	0.06635	1	2	2.00624	0	0	2.00624	1.91	0	0.93149	0.93149	0.93149	1	1	1	0.99974	1	1	0.18	0.01808	0.36202	0.18	0.00512	0.58545	0	0	0	0	0	1	0.99974
p2_t1	5	1	90457630	4522	90457629	0.14235	0.0314	1	2	2.12174	0	0	2.12174	1.91	0	0.93149	0.93149	0.93149	1	1	1	0.98094	1	1	0.18	0.00726	0.45542	0.18	0.0062	0.78228	0	0	0	0	0	1	0.98094
p2_t1	5	90457630	180915260	4522	90457630	0.02077	0.0314	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.11862	0.22918	0.18	0.08043	0.26777	0	0	0	0	0	1	1
p2_t1	6	1	106930291	5346	106930290	0.06737	0.03712	0.5	0	0.02108	1	0	0.02108	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.8933	1	0.18	0.00706	0.45995	1	0	0	0	0	0	1
p2_t1	6	106930291	106938387	0	8096	0.03232	0	1.5	4	4	0	0	4	3.865	0	1.16436	0.46575	1.86298	0	3	0	3	1	1	NA	NA	NA	0.64	0.49874	0.77572	1	0	0	0	0	0	3
p2_t1	6	106938387	171115067	3208	64176680	0.03605	0.02228	0.5	0	0	1	0	0	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.9506	1	0.18	0.03131	0.32753	1	0	0	0	0	0	1
p2_t1	7	1	1278676	63	1278675	0.11157	0.00044	1.5	4	3.91114	0	0	3.91114	3.865	0	1.16436	0.93149	1.39724	1	2	1	1.97781	1	1	0.18	0.01214	0.39357	0.73	0.2567	0.97608	0	0	0	0	0	1	1.97781
p2_t1	7	1278676	4156826	143	2878150	0.00316	0.001	1.5	4	4	0	0	4	3.865	0	1.16436	0.93149	1.39724	1	2	1	2	1	1	0.18	0.13432	0.21331	0.73	0.68539	0.76763	0	0	0	0	0	1	2
p2_t1	7	4156826	159138663	7749	154981837	0.00391	0.05379	1.5	4	4	0	0	4	3.865	0	1.16436	0.93149	1.39724	1	2	1	2	1	1	0.18	0.13408	0.21361	0.73	0.68427	0.76847	0	0	0	0	0	1	2
p2_t1	8	1	146364022	7318	146364021	0.00088	0.0508	0.5	0	0	1	0	0	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	1	1	NA	NA	NA	0.18	0.13462	0.21292	1	0	0	0	0	0	1
