sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p1_t2	1	1	249250621	12462	249250620	0.03895	0.0865108651086511	0.5	0	0	1	0	0	-0.272222222222222	0	0.70383	0.49949	0.90816	0	1	0	1	1	1	NA	NA	NA	0.25	0.04988	0.45223	1	0	0	0	0	0	1
p1_t2	2	1	115116963	5755	115116962	0.06146	0.039960399603996	1	2	1.99888	0	0	1.99888	1.9	0	0.90816	0.90816	0.90816	1	1	1	0.99993	1	1	0.25	0.10689	0.3822	0.25	0.01801	0.57193	0	0	0	0	0	1	0.99993
p1_t2	2	115116963	129712734	729	14595771	0.04518	0.005070050700507	2.5	7	7	0	1	8.41666666666667	8.41666666666667	0	1.52118	0.90816	2.13419	1	3	1	3.0005	1	1	0.25	0.13936	0.34959	0.41	0.1702	0.64795	0	0	0	0	0	1	3.0005
p1_t2	2	129712734	243199373	5674	113486639	0.03852	0.039390393903939	1	2	2	0	0	2	1.9	0	0.90816	0.90816	0.90816	1	1	1	1	1	1	0.25	0.15192	0.33716	0.25	0.05107	0.44989	0	0	0	0	0	1	1
p1_t2	3	1	198022430	9901	198022429	0.02697	0.0687306873068731	0.5	0	0	1	0	0	-0.272222222222222	0	0.70383	0.49949	0.90816	0	1	0	1	1	1	NA	NA	NA	0.25	0.09803	0.39131	1	0	0	0	0	0	1
p1_t2	4	1	191154276	9557	191154275	0.05081	0.0663506635066351	1	2	1.99987	0	0	1.99987	1.9	0	0.90816	0.90816	0.90816	1	1	1	1	1	1	0.25	0.12817	0.36068	0.25	0.02653	0.51451	0	0	0	0	0	1	1
p1_t2	5	1	180915260	9045	180915259	0.02817	0.0628006280062801	0.5	0	0	1	0	0	-0.272222222222222	0	0.70383	0.49949	0.90816	0	1	0	1	1	1	NA	NA	NA	0.25	0.0923	0.39741	1	0	0	0	0	0	1
p1_t2	6	1	35374696	1768	35374695	0.10882	0.012280122801228	0.875	2	1.59531	0	0	1.59531	1.35694444444444	0	0.85708	0.806	0.90816	1	1	0.9088	0.96446	1	1	0.47	0.23097	0.70199	0.25	0.01084	0.81433	0	0	0	0	0	0.9088	0.96446
p1_t2	6	35374696	39327455	197	3952759	0.16223	0.001370013700137	0.875	2	1.80399	0	0	1.80399	1.35694444444444	0	0.85708	0.806	0.90816	1	1	0.77323	0.85249	1	1	0.47	0.12854	0.8108	0.25	0.01163	0.92641	0	0	0	0	0	0.77323	0.85249
p1_t2	6	39327455	171115067	6589	131787612	0.02367	0.045740457404574	0.875	1	1.00003	0	0	1.00003	1.35694444444444	0	0.85708	0.806	0.90816	1	1	1	1	1	1	0.47	0.40053	0.53267	0.25	0.1139	0.37516	0	0	0	0	0	1	1
p1_t2	7	1	159138663	7956	159138662	0.07678	0.0552405524055241	1	2	1.99746	0	0	1.99746	1.9	0	0.90816	0.90816	0.90816	1	1	1	0.99811	1	1	0.25	0.07768	0.41361	0.25	0.01306	0.65621	0	0	0	0	0	1	0.99811
p1_t2	8	1	45697804	2284	45697803	0.03683	0.015860158601586	1	2	2	0	0	2	1.9	0	0.90816	0.90816	0.90816	1	1	1	1	1	1	0.25	0.1549	0.33404	0.25	0.05637	0.44129	0	0	0	0	0	1	1
p1_t2	8	45697804	48663006	148	2965202	0.04108	0.001030010300103	1	2	2	0	0	2	1.9	0	0.90816	0.90816	0.90816	1	1	1	1	1	1	0.25	0.14699	0.34187	0.25	0.04384	0.46332	0	0	0	0	0	1	1
p1_t2	8	48663006	141858107	4659	93195101	0.12716	0.032350323503235	1	2	2.10256	0	0	2.10256	1.9	0	0.90816	0.90816	0.90816	1	1	1	0.92543	1	1	0.25	0.02521	0.52056	0.25	0.01093	0.87238	0	0	0	0	0	1	0.92543
p1_t2	8	141858107	143391095	76	1532988	0.00361	0.000530005300053001	1.5	4	4	0	0	4	4.07222222222222	0	1.1125	0.90816	1.31684	1	2	1	2	1	1	0.25	0.20109	0.28814	0.64	0.58613	0.67962	0	0	0	0	0	1	2
