sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p1_t2	1	1	249250621	12462	249250620	0.01548	0.0865108651086511	0.5	0	0	1	0	0	0	0	0.70383	0.49949	0.90816	0	1	0	1	0	0	1	0.92757	1	0	0	0.11188	1	0	0	0	0	0	1
p1_t2	2	1	115116963	5755	115116962	0.00656	0.039960399603996	1	2	2	0	0	2	2.45187446416331	0	0.90816	0.90816	0.90816	1	1	1	1	0	0	0	0	0.05225	0	0	0.06515	0	0	0	0	0	1	1
p1_t2	2	115116963	129712734	729	14595771	0.04612	0.005070050700507	2.5	7	7	0	1	9.80749785665324	9.80749785665324	0	1.52118	0.90816	2.13419	1	4	1	4	0	0	0	0	0.13233	0.01	0	0.31332	0	0	0	0	0	1	4
p1_t2	2	129712734	243199373	5674	113486639	0.09178	0.039390393903939	1	3	2.66667	0	0	2.66667	2.45187446416331	0	0.90816	0.90816	0.90816	1	1	1	1.00034	0	0	0	0	0.25221	0	0	0.61244	0	0	0	0	0	1	1.00034
p1_t2	3	1	198022430	9901	198022429	0.1318	0.0687306873068731	0.5	1	0.90663	0	0	0.90663	0	0	0.70383	0.49949	0.90816	0	1	0	1.00904	0	0	1	0.63109	1	0	0.00242	0.82535	1	0	0	0	0	0	1.00904
p1_t2	4	1	191154276	9557	191154275	0.00862	0.0663506635066351	1	2	2.00003	0	0	2.00003	2.45187446416331	0	0.90816	0.90816	0.90816	1	1	1	1	0	0	0	0	0.0546	0	0	0.07443	0	0	0	0	0	1	1
p1_t2	5	1	180915260	9045	180915259	0.0295	0.0628006280062801	0.5	0	0	1	0	0	0	0	0.70383	0.49949	0.90816	0	1	0	1	0	0	1	0.89955	1	0	0	0.19979	1	0	0	0	0	0	1
p1_t2	6	1	35374696	1768	35374695	0.00193	0.012280122801228	0.875	2	2	0	0	2	1.83890584812248	0	0.85708	0.806	0.90816	1	1	1	1	1	0	0.25	0.19587	0.29353	0	0	0.05034	0	0	0	0	0	1	1
p1_t2	6	35374696	39327455	197	3952759	0.00938	0.001370013700137	0.875	2	2	0	0	2	1.83890584812248	0	0.85708	0.806	0.90816	1	1	1	1	1	0	0.25	0.19145	0.29812	0	0	0.07799	0	0	0	0	0	1	1
p1_t2	6	39327455	171115067	6589	131787612	0.02146	0.045740457404574	0.875	2	2	0	0	2	1.83890584812248	0	0.85708	0.806	0.90816	1	1	1	1	1	0	0.25	0.17382	0.31567	0	0	0.1485	0	0	0	0	0	1	1
