Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	1.8457553047597552	0.9977055701404083	249250620	12462	249	3.0	0.013262532189484007	0.015638861316827117	0.026525064378968014
2	1	209900405	0.9977055701404083	0.9977055701404083	209900404	10495	209	2.0	0.008135254255119236	0.009592897589633468	0.016270508510238472
2	209900405	212572127	1.8457553047597552	0.9977055701404083	2671722	133	2	3.0	0.0088488460762275	0.01043434802818418	0.017697692152455
2	212572127	243199373	0.9977055701404083	0.9977055701404083	30627246	1531	30	2.0	0.003907757250317188	0.004607934052442352	0.007815514500634377
3	1	198022430	0.9977055701404083	0.14965583552106126	198022429	9901	198	1.0	0.024631307737687586	0.029044650015418637	0.04926261547537517
4	1	191154276	0.9977055701404083	0.7150223252672927	191154275	9557	191	1.6666666666666667	0.0021694237080223697	0.002558132641826874	0.004338847416044739
5	1	39827982	0.9977055701404083	0.9977055701404083	39827981	1991	39	2.0	0.0006916731176149064	0.000815604426697178	0.0013833462352298128
5	39827982	42314699	1.8457553047597552	0.9977055701404083	2486717	124	2	3.0	0.014539712382615397	0.01714488170807771	0.029079424765230795
5	42314699	180915260	0.9977055701404083	0.9977055701404083	138600561	6930	138	2.0	0.003017245897046173	0.003557864325493227	0.006034491794092346
6	1	22491975	0.9977055701404083	0.9977055701404083	22491974	1124	22	2.0	0.008810660998337869	0.010389321095999866	0.017621321996675737
6	22491975	23255188	1.1861610667224856	0.9977055701404083	763213	38	0	2.2222222222222223	0.0012219787060679355	0.0014409281156327809	0.002443957412135871
6	23255188	171115067	0.9977055701404083	0.9977055701404083	147859879	7392	147	2.0	0.009014957129215496	0.010630222215990578	0.018029914258430993
7	1	159138663	0.9977055701404083	0.9977055701404083	159138662	7956	159	2.0	0.01990890146178896	0.023476101281636755	0.03981780292357792
8	1	73182011	0.9977055701404083	0.9977055701404083	73182010	3659	73	2.0	0.06022377930427661	0.07101444272169777	0.12044755860855322
8	73182011	146364022	0.9977055701404083	0.8092500735583312	73182011	3659	73	1.7777777777777777	0.006714625106005179	0.007917725614310917	0.013429250212010357
