Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	59008044	0.9728645529506519	0.9728645529506519	59008043	2950	59	2.0	0.009624391678577522	0.011638633255946485	0.019248783357155044
1	59008044	59513937	0.9728645529506519	0.1459296829425978	505893	25	0	1.0	0.01518778332510764	0.018366359765382388	0.03037556665021528
1	59513937	150253045	0.9728645529506519	0.9728645529506519	90739108	4536	90	2.0	0.01116439975248688	0.0135009420419992	0.02232879950497376
1	150253045	151397637	1.799799422958706	0.9728645529506519	1144592	57	1	3.0	0.009519506080443841	0.011511796667071403	0.019039012160887683
1	151397637	249250621	0.9728645529506519	0.9728645529506519	97852984	4892	97	2.0	0.006663747183501068	0.008058370042414786	0.013327494367002136
2	1	243199373	0.9728645529506519	0.1459296829425978	243199372	12159	243	1.0	0.012554305454956786	0.015181734269876066	0.02510861090991357
3	1	198022430	0.9728645529506519	0.1459296829425978	198022429	9901	198	1.0	0.006959667805071934	0.008416222434789995	0.013919335610143867
4	1	191154276	0.9728645529506519	0.9728645529506519	191154275	9557	191	2.0	0.026888748965332665	0.032516162929579664	0.05377749793066533
5	1	90457630	0.9728645529506519	0.9728645529506519	90457629	4522	90	2.0	0.04008673841534253	0.048476294650571565	0.08017347683068506
5	90457630	180915260	0.9728645529506519	0.7891012485044177	90457630	4522	90	1.7777777777777777	0.0058481280502483005	0.007072053994036243	0.011696256100496601
6	1	106930291	0.9728645529506519	0.1459296829425978	106930290	5346	106	1.0	0.018972426933137887	0.0229430728117114	0.037944853866275774
6	106930291	106938387	2.62673429296676	0.1459296829425978	8096	0	0	3.0	0.009101975703712404	0.011006883412261663	0.01820395140742481
6	106938387	171115067	0.9728645529506519	0.1459296829425978	64176680	3208	64	1.0	0.010151136167841697	0.012275617507510389	0.020302272335683394
7	1	1278676	1.799799422958706	0.9728645529506519	1278675	63	1	3.0	0.031420299810311955	0.03799609975330455	0.06284059962062391
7	1278676	4156826	1.799799422958706	1.1566278573968862	2878150	143	2	3.2222222222222223	0.0008910660027207488	0.0010775528219194217	0.0017821320054414976
7	4156826	159138663	1.799799422958706	0.9728645529506519	154981837	7749	154	3.0	0.0011023967234337646	0.0013331119093127944	0.002204793446867529
8	1	146364022	0.9728645529506519	0.1459296829425978	146364021	7318	146	1.0	0.00024700357216797514	0.000298697734400255	0.0004940071443359503
9	1	85298823	1.2485095096200032	0.9728645529506519	85298822	4264	85	2.333333333333333	0.02161582180707265	0.02613969079192672	0.0432316436141453
9	85298823	86316183	0.9728645529506519	0.6972195962813006	1017360	50	1	1.6666666666666667	0.018209224045063543	0.022020142946549335	0.036418448090127085
9	86316183	141213431	1.2485095096200032	0.9728645529506519	54897248	2744	54	2.333333333333333	0.024673216173913173	0.02983695218182402	0.04934643234782635
10	1	16293710	1.799799422958706	0.9728645529506519	16293709	814	16	3.0	0.0464996939617433	0.05623138610818335	0.0929993879234866
10	16293710	17139888	0.9728645529506519	0.1459296829425978	846178	42	0	1.0	0.019411922476246665	0.02347454821448949	0.03882384495249333
10	17139888	128797053	1.799799422958706	0.9728645529506519	111657165	5582	111	3.0	0.00748462159549446	0.009051041220962857	0.01496924319098892
10	128797053	134907268	1.799799422958706	1.5241544662893545	6110215	305	6	3.6666666666666665	0.01833924329331258	0.022177373283501712	0.03667848658662516
10	134907268	135534747	1.799799422958706	0.9728645529506519	627479	31	0	3.0	0.0015221804811461975	0.0018407501441212316	0.003044360962292395
11	1	135006516	0.9728645529506519	0.9728645529506519	135006515	6750	135	2.0	0.012352023399159893	0.01493711759795495	0.024704046798319786
12	1	133851895	0.9728645529506519	0.9728645529506519	133851894	6692	133	2.0	0.0018711229667475286	0.0022627210855545423	0.0037422459334950572
13	1	115169878	0.9728645529506519	0.1459296829425978	115169877	5758	115	1.0	0.03500179463545098	0.042327148007569294	0.07000358927090196
14	1	107349540	1.799799422958706	0.9728645529506519	107349539	5367	107	3.0	0.00892243518892694	0.010789767746569978	0.01784487037785388
15	1	102531392	0.9728645529506519	0.9728645529506519	102531391	5126	102	2.0	0.006476516322204916	0.00783195455543172	0.012953032644409833
16	1	90354753	0.9728645529506519	0.9728645529506519	90354752	4517	90	2.0	0.0037158954620871284	0.004493576939198291	0.007431790924174257
17	1	81195210	0.9728645529506519	0.9728645529506519	81195209	4059	81	2.0	0.017997243709317032	0.021763798289388552	0.035994487418634064
18	1	78077248	1.1566278573968862	0.9728645529506519	78077247	3903	78	2.2222222222222223	0.00736554278207125	0.008907040988608343	0.0147310855641425
19	1	59128983	0.9728645529506519	0.1459296829425978	59128982	2956	59	1.0	0.010162042227816893	0.012288806043114275	0.020324084455633787
20	1	63025520	0.9728645529506519	0.9728645529506519	63025519	3151	63	2.0	0.0002293841069031125	0.0002773907779470932	0.000458768213806225
21	1	48129895	0.9728645529506519	0.1459296829425978	48129894	2406	48	1.0	0.011625836133690866	0.014058950172917044	0.023251672267381732
22	1	16455073	0.9728645529506519	0.4215746396119492	16455072	822	16	1.3333333333333335	0.011451889528307769	0.01384859913840159	0.022903779056615538
22	16455073	21078684	1.2485095096200034	0.9728645529506519	4623611	231	4	2.3333333333333335	0.01160367046463877	0.01403214556005572	0.02320734092927754
22	21078684	47702102	0.9728645529506519	0.4215746396119492	26623418	1331	26	1.3333333333333335	0.03480219764723422	0.042085778347810215	0.06960439529446844
22	47702102	48069245	0.9728645529506519	0.4215746396119492	367143	18	0	1.3333333333333335	0.013847994566237398	0.016746173209629584	0.027695989132474796
22	48069245	51304566	0.9728645529506519	0.4215746396119492	3235321	161	3	1.3333333333333335	0.005387588658909741	0.006515130579579099	0.010775177317819481
