sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p2_t2	1	1	249250621	12462	249250620	0.02653	0.08651	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.03897	0	0	0.04629	0	0	0	0	0	1	2
p2_t2	2	1	209900405	10495	209900404	0.01627	0.07286	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02915	0	0	0.03174	0	0	0	0	0	1	1
p2_t2	2	209900405	212572127	133	2671722	0.0177	0.00093	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.02982	0	0	0.03573	0	0	0	0	0	1	2
p2_t2	2	212572127	243199373	1531	30627246	0.00782	0.01063	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02452	0	0	0.02536	0	0	0	0	0	1	1
p2_t2	3	1	198022430	9901	198022429	0.04926	0.06873	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.92583	1	0	0	0.07653	1	0	0	0	0	0	1
p2_t2	4	1	191154276	9557	191154275	0.00434	0.06635	0.83333	2	2	0	0	2	1.61481859682998	0	0.85636	0.71502	0.99771	1	1	1	1	1	0	0.33	0.30254	0.35084	0	0	0.02298	0	0	0	0	0	1	1
p2_t2	5	1	39827982	1991	39827981	0.00138	0.01382	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02158	0	0	0.02163	0	0	0	0	0	1	1
p2_t2	5	39827982	42314699	124	2486717	0.02908	0.00086	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.0417	0	0	0.049	0	0	0	0	0	1	2
p2_t2	5	42314699	180915260	6930	138600561	0.00603	0.04811	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02348	0	0	0.02411	0	0	0	0	0	1	1
p2_t2	6	1	22491975	1124	22491974	0.01762	0.00781	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02979	0	0	0.03384	0	0	0	0	0	1	1
p2_t2	6	22491975	23255188	38	763213	0.00244	0.00026	1.11111	2	2	0	0	2	2.27125737432758	0	1.09193	0.99771	1.18616	1	1	1	1	0	1	0	0	0.02184	0.22	0.19458	0.24365	0	0	0	0	0	1	1
p2_t2	6	23255188	171115067	7392	147859879	0.01803	0.05132	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02997	0	0	0.03439	0	0	0	0	0	1	1
p2_t2	7	1	159138663	7956	159138662	0.03982	0.05524	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.05439	0	0	0.06265	0	0	0	0	0	1	1
p2_t2	8	1	73182011	3659	73182010	0.12045	0.0254	1	2	2.00319	0	0	2.00319	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.15656	0	0	0.18479	0	0	0	0	0	1	1
p2_t2	8	73182011	146364022	3659	73182011	0.01343	0.0254	0.88889	2	2	0	0	2	1.74611580497227	0	0.90348	0.80925	0.99771	1	1	1	1	1	0	0.22	0.18775	0.24503	0	0	0.02894	0	0	0	0	0	1	1
p2_t2	9	1	118183313	5909	118183312	0.02799	0.04102	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.03995	0	0	0.04792	0	0	0	0	0	1	2
p2_t2	9	118183313	118587812	20	404499	0.00049	0.00014	1.72222	4	4	0	0	4	3.71540850585813	0	1.61019	0.99771	2.22267	1	2	1	2	0	1	0	0	0.02147	0.45	0.42075	0.4681	0	0	0	0	0	1	2
p2_t2	9	118587812	141213431	1131	22625619	0.00825	0.00785	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.02478	0	0	0.02718	0	0	0	0	0	1	2
p2_t2	10	1	135534747	6776	135534746	0.03981	0.04704	1.33333	3	3	0	0	3	2.79639894368288	0	1.28039	0.99771	1.56307	1	2	1	2	0	1	0	0	0.05439	0.67	0.60503	0.72425	0	0	0	0	0	1	2
p2_t2	11	1	135006516	6750	135006515	0.03382	0.04686	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.04741	0	0	0.05447	0	0	0	0	0	1	1
p2_t2	12	1	100282058	5014	100282057	0.00167	0.03481	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02164	0	0	0.02171	0	0	0	0	0	1	1
p2_t2	12	100282058	104315956	201	4033898	0.04315	0.0014	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.93319	1	0	0	0.06753	1	0	0	0	0	0	1
p2_t2	12	104315956	133851895	1476	29535939	0.01442	0.01025	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02824	0	0	0.02949	0	0	0	0	0	1	1
p2_t2	13	1	57584939	2879	57584938	0.0031	0.01999	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.97026	1	0	0	0.02228	1	0	0	0	0	0	1
p2_t2	13	57584939	115169878	2879	57584939	0.0224	0.01999	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.95615	1	0	0	0.03889	1	0	0	0	0	0	1
p2_t2	14	1	53674770	2683	53674769	0.01806	0.01863	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.02999	0	0	0.03612	0	0	0	0	0	1	2
p2_t2	14	53674770	96743901	2153	43069131	0.01722	0.01495	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.0296	0	0	0.03325	0	0	0	0	0	1	1
p2_t2	14	96743901	103112291	318	6368390	0.01271	0.00221	1.33333	3	3	0	0	3	2.79639894368288	0	1.28039	0.99771	1.56307	1	2	1	2	0	1	0	0	0.02735	0.67	0.63463	0.6946	0	0	0	0	0	1	2
p2_t2	14	103112291	107349540	211	4237249	0.01003	0.00147	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02584	0	0	0.02686	0	0	0	0	0	1	1
p2_t2	15	1	102531392	5126	102531391	9e-05	0.03559	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.9704	1	0	0	0.02146	1	0	0	0	0	0	1
p2_t2	16	1	64089709	3204	64089708	0.03115	0.02225	1.11111	2	2	0	0	2	2.27125737432758	0	1.09193	0.99771	1.18616	1	1	1	1	0	1	0	0	0.04457	0.22	0.17085	0.26809	0	0	0	0	0	1	1
p2_t2	16	64089709	64599365	25	509656	0.05261	0.00018	0.94444	2	2	0	0	2	1.87738938150763	0	0.95059	0.90348	0.99771	1	1	1	1	0	0	0.11	0.0399	0.16973	0	0	0.08102	0	0	0	0	0	1	1
p2_t2	16	64599365	90354753	1287	25755388	0.00057	0.00894	1.11111	2	2	0	0	2	2.27125737432758	0	1.09193	0.99771	1.18616	1	1	1	1	0	1	0	0	0.02148	0.22	0.19483	0.24332	0	0	0	0	0	1	1
p2_t2	17	1	81195210	4059	81195209	0.01672	0.02818	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.96159	1	0	0	0.03248	1	0	0	0	0	0	1
p2_t2	18	1	78077248	3903	78077247	0.00268	0.0271	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02191	0	0	0.02208	0	0	0	0	0	1	1
p2_t2	19	1	59128983	2956	59128982	0.01013	0.02052	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.0259	0	0	0.02693	0	0	0	0	0	1	1
p2_t2	20	1	31512760	1575	31512759	0.00401	0.01094	1.5	3	3	0	0	3	3.19026693650282	0	1.42173	0.99771	1.84576	1	2	1	2	0	0	0	0	0.02244	0	0	0.02513	0	0	0	0	0	1	2
p2_t2	20	31512760	63025520	1575	31512760	0.03706	0.01094	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.05025	0	0	0.05859	0	0	0	0	0	1	1
p2_t2	21	1	48129895	2406	48129894	0.03297	0.01671	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.94488	1	0	0	0.05313	1	0	0	0	0	0	1
p2_t2	22	1	24985628	1249	24985627	0.00871	0.00867	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.02506	0	0	0.02598	0	0	0	0	0	1	1
p2_t2	22	24985628	29245858	213	4260230	0.00639	0.00148	0.5	1	1	0	0	1	0.827106242797028	0	0.57368	0.14966	0.99771	0	1	0	1	0	0	1	0.96912	1	0	0	0.02435	1	0	0	0	0	0	1
p2_t2	22	29245858	51304566	1102	22058708	0.02832	0.00766	1	2	2	0	0	2	2.00868658964993	0	0.99771	0.99771	0.99771	1	1	1	1	0	0	0	0	0.04045	0	0	0.047	0	0	0	0	0	1	1
